"Ноутбук Lenovo V14-82C2 Intel N4020 1.1-2.8GHz,4GB,1TB,14""HD,HDMI, IRON GRAY,NO DVDRW,Rus+Eng"/"https://enter.kg/images/stories/virtuemart/product/1_4407.png"/25740 Сом
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 128GB SSD, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus"/"https://enter.kg/images/stories/virtuemart/product/1_2528_4913.jpg"/26037 Сом
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus"/"https://enter.kg/images/stories/virtuemart/product/1_2528_5087.jpg"/26037 Сом
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus"/"https://enter.kg/images/stories/virtuemart/product/1_2528_8239.jpg"/26235 Сом
"HP 15-dw1495nia (6J5C0EA) N4120 Quadcore 1.1-2.6GHz,8GB,SSD 240GB,15.6"" HD,RU, BLACK"/"https://enter.kg/images/stories/virtuemart/product/2_6478.jpg"/26334 Сом
"Ноутбук Lenovo IdeaPad 1 14IGL7 Intel Pentium Quad Core N5030 (up to 3.1Ghz), 14"" LED HD, 4GB, 128GB eMMC +256GB m.2 NVMe, WiFi, BT, Cam, Win11En HomeS, Eng-Rus, бесшумный, серебр[82V6001DUS]"/"https://enter.kg/images/stories/virtuemart/product/2_1624.jpg"/26334 Сом
"Ноутбук Lenovo V15 IGL, Celeron N4020 (up to 2.8Ghz), 4GB, 500GB SSD m.2 NVMe+1TB HDD, 15,6"" HD (1366х768), Intel UHD Graphics 600, без привода, WiFi+BT, HD Web Camera, FreeDOS, Eng-Rus, Iron Grey, бесшумный [82C3001NAK]"/"https://enter.kg/images/stories/virtuemart/product/2_5928.jpg"/26334 Сом
"HP 15-dw1495nia (6J5C0EA) N4120 Quadcore 1.1-2.6GHz,4GB,SSD 480GB,15.6"" HD,RU, BLACK"/"https://enter.kg/images/stories/virtuemart/product/2_8078.jpg"/26433 Сом
"Ноутбук Gateway GWTN156 Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB DDR4, 128GB SSD+500GB SSD, Intel® UHD Graphics 605, 15.6"" LED FULL HD(1920x1080), WiFi, BT, Cam, Win10 S, серый, бесшумный [GWTN156-11BK]"/"https://enter.kg/images/stories/virtuemart/product/2_7876_3720.jpg"/26631 Сом
"Notebook YEPO Silver Intel Quad Core J3455 (up to 2.3Ghz), 8GB, 256GB SSD, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus"/"https://enter.kg/images/stories/virtuemart/product/1_6497_1615.jpg"/26730 Сом
"Ноутбук Lenovo V15-82C3 Intel N4020 1.1-2.8GHz,4GB,1TB,15""HD,HDMI, IRON GRAY,NO DVDRW,Rus+Eng"/"https://enter.kg/images/stories/virtuemart/product/1_3344_3597.jpg"/26730 Сом
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 256GB M.2 NVMe PCIe, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus"/"https://enter.kg/images/stories/virtuemart/product/1_1666.jpg"/26829 Сом
"Ноутбук Lenovo V15 IGL, Celeron N4020 (up to 2.8Ghz), 4GB, 1000GB SSD m.2 NVMe, 15,6"" HD (1366х768), Intel UHD Graphics 600, без привода, WiFi+BT, HD Web Camera, FreeDOS, Eng-Rus, Iron Grey, бесшумный [82C3001NAK]"/"https://enter.kg/images/stories/virtuemart/product/2_2010.jpg"/26829 Сом
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus"/"https://enter.kg/images/stories/virtuemart/product/2_3364.jpg"/27225 Сом
"Lenovo V14 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 120GB,14""HD,RUS,DOS HDMI, IRON GRAY"/"https://enter.kg/images/stories/virtuemart/product/ww-lenovo-laptop-v14-amd-hero_1798.webp"/27423 Сом
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 128GB SSD, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus"/"https://enter.kg/images/stories/virtuemart/product/1_8793.jpg"/27522 Сом
"HP 15-dw1495nia (6J5C0EA) N4120 Quadcore 1.1-2.6GHz,8GB,SSD 480GB,15.6"" HD,RU, BLACK"/"https://enter.kg/images/stories/virtuemart/product/2_6921.jpg"/27621 Сом
"Lenovo V14 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,14""HD,RUS,DOS HDMI, IRON GRAY"/"https://enter.kg/images/stories/virtuemart/product/ww-lenovo-laptop-v14-amd-hero_3169.webp"/27621 Сом
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 128GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus"/"https://enter.kg/images/yandex.png"/27720 Сом
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus"/"https://enter.kg/images/yandex.png"/27720 Сом
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus"/"https://enter.kg/images/stories/virtuemart/product/1_4559_8217.jpg"/27720 Сом
